,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,GEOMETRIC_CENTER,"59 St - Lexington Avenue Subway Station, New York, NY, USA",ChIJG3uyYu9YwokRiBoV_TOGMDU,59 ST New York City metro station,40.762824,-73.967562,1,,OK,"establishment,point_of_interest,transit_station"
1,GEOMETRIC_CENTER,"59 St - Lexington Avenue Subway Station, New York, NY, USA",ChIJG3uyYu9YwokRiBoV_TOGMDU,5 AV/59 ST New York City metro station,40.762824,-73.967562,1,,OK,"establishment,point_of_interest,transit_station"
2,GEOMETRIC_CENTER,"57th Street-Seventh Ave., New York, NY 10106, USA",ChIJb-OFh_dYwokRAJW452KSwV0,57 ST-7 AV New York City metro station,40.765564,-73.9803309,1,10106,OK,"establishment,point_of_interest,subway_station,transit_station"
3,GEOMETRIC_CENTER,"49 St, New York, NY 10036, USA",ChIJv6xT4VVYwokRb-AIZdrXKAc,49 ST New York City metro station,40.7598372,-73.9841825,1,10036,OK,"establishment,point_of_interest,subway_station,transit_station"
4,GEOMETRIC_CENTER,"Times Sq-42 St, New York, NY 10036, USA",ChIJ5RqjPKtZwokRgOy4tBivbcw,TIMES SQ-42 ST New York City metro station,40.7545563,-73.9866737,1,10036,OK,"establishment,point_of_interest,subway_station,transit_station"
5,GEOMETRIC_CENTER,"34 Street-Herald Sq, New York, NY 10001, USA",ChIJh3-JOKlZwokRF2zVuxg0pXc,34 ST-HERALD SQ New York City metro station,40.7488979,-73.98878859999999,2,10001,OK,"establishment,point_of_interest,subway_station,transit_station"
6,GEOMETRIC_CENTER,"28 Street Subway Station, New York, NY 10016, USA",ChIJUYdWnqdZwokRAMaUbC9nBv0,28 ST New York City metro station,40.7431333,-73.984225,1,10016,OK,"establishment,point_of_interest,subway_station,transit_station"
7,GEOMETRIC_CENTER,"23 Street Station, E 23rd St, New York, NY 10010, USA",ChIJ3QxIAKRZwokR9GKF9UAFs8k,23 ST New York City metro station,40.7413626,-73.9891335,1,10010,OK,"establishment,point_of_interest,subway_station,transit_station"
8,GEOMETRIC_CENTER,"14 Street - Union Square Station, New York, NY 10003, USA",ChIJGxFxxJhZwokRaAQ22S4T8GA,14 ST-UNION SQ New York City metro station,40.7348024,-73.990753,2,10003,OK,"establishment,point_of_interest,subway_station,transit_station"
9,GEOMETRIC_CENTER,"8 Street Station, New York, NY 10003, USA",ChIJdds5RppZwokR0fZVTlTGzdQ,8 ST-NYU New York City metro station,40.7306255,-73.9926698,1,10003,OK,"establishment,point_of_interest,subway_station,transit_station"
